Home,Away,Y
1,9,0
5,6,1
10,19,1
22,30,0
2,23,1
3,5,0
9,29,1
16,4,1
28,12,1
11,8,0
15,6,0
17,20,0
21,27,1
24,7,0
25,19,1
26,13,0
14,18,0
12,15,0
20,1,0
13,7,1
17,30,0
27,3,1
8,18,0
11,10,0
26,14,1
24,25,1
6,16,1
22,21,0
23,29,0
2,28,0
9,5,1
1,4,1
12,29,0
30,20,0
19,10,0
15,3,1
25,24,0
13,26,1
4,1,0
2,27,0
16,11,1
28,17,1
5,22,1
21,8,1
14,7,0
23,6,0
3,17,0
20,27,0
11,21,1
18,25,0
10,15,1
13,24,1
4,5,1
9,12,0
16,1,0
19,22,0
7,28,0
26,15,0
14,8,0
12,2,1
30,27,1
1,3,1
6,20,1
11,22,1
17,23,1
21,28,0
24,26,1
29,25,0
10,13,1
5,21,1
18,16,0
7,4,0
8,29,0
25,15,1
22,28,1
2,30,1
3,14,0
6,23,1
20,17,0
12,16,1
19,1,0
24,9,0
10,8,1
26,11,0
5,18,0
23,22,0
1,30,1
7,19,1
17,3,1
27,4,1
29,15,1
26,10,0
13,11,0
6,12,1
20,14,1
16,28,1
21,24,1
25,9,0
12,22,1
23,5,0
1,18,0
8,25,1
26,27,0
10,9,1
13,15,1
6,29,1
30,21,0
16,14,1
28,20,0
17,2,0
18,4,0
19,7,1
4,20,1
22,14,1
23,28,0
2,12,0
1,19,1
7,13,1
11,3,0
15,10,0
8,17,1
26,9,1
25,27,0
16,29,1
18,10,0
24,13,1
12,18,1
22,29,1
2,1,1
20,6,0
28,19,1
5,4,1
15,25,1
21,23,1
7,14,1
8,11,1
26,3,1
13,9,1
30,22,1
11,7,0
17,6,1
27,23,1
24,8,1
10,3,1
20,19,1
18,15,0
4,25,1
1,29,0
21,2,0
26,28,1
14,9,1
23,7,0
5,12,1
11,2,0
15,21,1
27,25,1
24,14,1
30,17,1
3,1,1
9,6,1
16,18,0
20,4,1
19,8,0
10,28,1
4,3,1
22,18,1
23,12,0
2,7,0
1,26,1
11,25,1
21,19,1
27,8,1
29,28,1
24,5,0
16,26,1
6,17,1
13,10,0
4,23,1
2,3,1
15,11,1
18,9,0
19,27,1
21,20,0
7,29,1
8,24,0
25,13,1
10,5,1
14,28,0
22,26,0
12,17,1
6,1,1
9,30,0
16,23,1
11,20,0
27,15,1
13,28,0
3,2,1
19,24,1
21,7,1
8,10,0
14,25,0
4,26,1
6,22,1
16,20,1
17,9,1
18,23,1
27,24,1
29,21,0
30,12,0
1,2,1
15,7,1
8,13,0
25,5,0
10,14,1
4,30,1
22,20,1
2,23,1
9,16,1
28,6,1
11,15,0
17,26,0
18,1,1
21,3,1
27,7,1
24,19,0
13,29,0
4,6,0
22,17,1
2,30,1
20,16,0
12,5,1
11,23,1
15,1,0
21,9,1
8,27,0
24,10,0
26,18,0
13,19,1
30,28,0
6,3,1
7,8,1
27,1,1
29,19,1
25,14,1
10,26,1
4,17,1
13,18,1
3,9,1
22,2,1
28,24,0
15,23,1
20,11,0
14,12,0
9,11,1
16,2,0
1,21,1
5,27,1
17,8,1
29,10,0
26,7,1
