Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
1-Apr,Friday,78.1,66,0.01,1704,3126,4115,2552,11497
2-Apr,Saturday,55,48.9,0.15,827,1646,2565,1884,6922
3-Apr,Sunday,39.9,34,0.09,526,1232,1695,1306,4759
4-Apr,Monday,44.1,33.1,0.47 (S),521,1067,1440,1307,4335
5-Apr,Tuesday,42.1,26.1,0,1416,2617,3081,2357,9471
6-Apr,Wednesday,45,30,0,1885,3329,3856,2849,11919
7-Apr,Thursday,57,53.1,0.09,1276,2581,3282,2457,9596
8-Apr,Friday,46.9,44.1,0.01,1982,3455,4113,3194,12744
9-Apr,Saturday,43,37.9,0.09,504,997,1507,1502,4510
10-Apr,Sunday,48.9,30.9,0,1447,2387,3132,2160,9126
11-Apr,Monday,62.1,46,0.01,2005,3791,4334,3182,13312
12-Apr,Tuesday,57,45,0.2,1045,2178,2762,2082,8067
13-Apr,Wednesday,57,39.9,0,2840,5395,5995,4192,18422
14-Apr,Thursday,62.1,44.6,0,2861,5309,6030,4115,18315
15-Apr,Friday,64,44.1,0,2770,5072,5816,3912,17570
16-Apr,Saturday,66,45,0,2384,4316,5624,4051,16375
17-Apr,Sunday,73.9,46,0,3147,4969,5867,4197,18180
18-Apr,Monday,81,52,0,3871,6823,7432,4964,23090
19-Apr,Tuesday,71.1,63,0,3501,6951,7834,5032,23318
20-Apr,Wednesday,68,50,0,3450,6574,7639,4928,22591
21-Apr,Thursday,71.1,50,0,3436,6452,7426,4813,22127
22-Apr,Friday,78.1,63,T,2975,4907,6093,3862,17837
23-Apr,Saturday,70,61,0.16,2055,3276,4856,3239,13426
24-Apr,Sunday,68,48,0,2798,4650,5335,3957,16740
25-Apr,Monday,66.9,54,0,3463,5978,6845,4564,20850
26-Apr,Tuesday,60.1,46.9,0.24,1997,3520,4559,2929,13005
27-Apr,Wednesday,62.1,46.9,0,3343,5606,6577,4388,19914
28-Apr,Thursday,57.9,48,0,2486,4152,5336,3657,15631
29-Apr,Friday,57,46.9,0.05,2375,4178,5053,3348,14954
30-Apr,Saturday,64,48,0,3199,4952,5675,3606,17432
1-May,Sunday,50,45,0.16,2634,1525,2062,1408,7629
2-May,Monday,59,46,0.04,2505,4149,4864,3575,15093
3-May,Tuesday,54,51.1,0.61,1059,1986,2614,1741,7400
4-May,Wednesday,51.1,48.9,0.01,1710,2905,3797,2693,11105
5-May,Thursday,57,46.9,0,2582,4196,4971,3619,15368
6-May,Friday,53.1,48,0.54,652,1453,2122,1612,5839
7-May,Saturday,57.9,48.9,0,1867,3157,3789,2749,11562
8-May,Sunday,64.9,50,0.16,1916,2927,3948,2463,11254
9-May,Monday,72,55,0,3650,6591,7386,4951,22578
10-May,Tuesday,62.1,51.1,0,3384,6283,7335,4796,21798
11-May,Wednesday,73.9,53.1,0,3883,7216,8231,5327,24657
12-May,Thursday,79,57.9,0,3960,7103,8333,5735,25131
13-May,Friday,64.9,60.1,0.25,1780,3072,4229,3121,12202
14-May,Saturday,71.6,60.8,T,2556,4042,5479,3951,16028
15-May,Sunday,57.2,50,T,1738,2971,3486,2696,10891
16-May,Monday,66.2,46.4,0,2907,5254,5961,4016,18138
17-May,Tuesday,64.4,55.4,T,2812,5230,6219,4344,18605
18-May,Wednesday,68,53.6,T,3309,5812,6739,4603,20463
19-May,Thursday,71.1,57,0,3474,6214,7485,4763,21936
20-May,Friday,75,55,0,3976,6994,7776,5221,23967
21-May,Saturday,66,55,0.04,1665,2864,3978,2928,11435
22-May,Sunday,69.1,53.1,0.09,2117,3729,4633,2956,13435
23-May,Monday,77,57.9,0.02,3928,6843,7769,5135,23675
24-May,Tuesday,73,59,0.18,1482,3019,4260,2392,11153
25-May,Wednesday,87.1,64,0,4244,7869,8959,5906,26978
26-May,Thursday,89.1,71.1,0,3887,7037,8231,5451,24606
27-May,Friday,86,75,0,3302,5670,7054,4592,20618
28-May,Saturday,90,72,0,2664,3998,5327,3895,15884
29-May,Sunday,86,73,T,3193,4154,4918,3635,15900
30-May,Monday,79,68,1.65,1719,2750,3759,2689,10917
31-May,Tuesday,84.9,72,0,3948,7016,7957,5556,24477
1-Jun,Wednesday,82,71.1,0,4126,7565,9028,5823,26542
2-Jun,Thursday,75.9,63,0,4161,7229,8764,5833,25987
3-Jun,Friday,70,64,0.04,1864,3708,4961,3189,13722
4-Jun,Saturday,82.9,66.9,0.4,3134,4840,6051,4193,18218
5-Jun,Sunday,70,64.9,0.91,918,1593,2473,1805,6789
6-Jun,Monday,82,66.9,0,4280,7542,8489,5654,25965
7-Jun,Tuesday,84,71.1,T,3956,7319,8527,5447,25249
8-Jun,Wednesday,66,52,0.45,2630,5266,6325,4094,18315
9-Jun,Thursday,71.1,54,0,3733,6933,7913,5017,23596
10-Jun,Friday,75.9,57,0,3932,6697,8077,5079,23785
11-Jun,Saturday,87.1,63,0,2507,4086,5632,3661,15886
12-Jun,Sunday,82,66.9,0,2684,4475,5513,3855,16527
13-Jun,Monday,73.9,57.9,0,3696,6952,7913,5108,23669
14-Jun,Tuesday,79,59,0,4075,7751,8942,5600,26368
15-Jun,Wednesday,84,64.9,0,3966,7559,9037,5840,26402
16-Jun,Thursday,72,66,0.22,3373,5196,6184,3633,18386
17-Jun,Friday,75.9,66,0,5354,6589,8106,5179,25228
18-Jun,Saturday,86,64,0,4804,5077,6344,4309,20534
