"weekday","hightemp","lowtemp","precip_rain","precip_snow","count"
"Friday",78.1,66,0.01,0,4115
"Saturday",55,48.9,0.15,0,2565
"Sunday",39.9,34,0.09,0,1695
"Monday",44.1,33.1,0,0.47,1440
"Tuesday",42.1,26.1,0,0,3081
"Wednesday",45,30,0,0,3856
"Thursday",57,53.1,0.09,0,3282
"Friday",46.9,44.1,0.01,0,4113
"Saturday",43,37.9,0.09,0,1507
"Sunday",48.9,30.9,0,0,3132
"Monday",62.1,46,0.01,0,4334
"Tuesday",57,45,0.2,0,2762
"Wednesday",57,39.9,0,0,5995
"Thursday",62.1,44.6,0,0,6030
"Friday",64,44.1,0,0,5816
"Saturday",66,45,0,0,5624
"Sunday",73.9,46,0,0,5867
"Monday",81,52,0,0,7432
"Tuesday",71.1,63,0,0,7834
"Wednesday",68,50,0,0,7639
"Thursday",71.1,50,0,0,7426
"Friday",78.1,63,0,0,6093
"Saturday",70,61,0.16,0,4856
"Sunday",68,48,0,0,5335
"Monday",66.9,54,0,0,6845
"Tuesday",60.1,46.9,0.24,0,4559
"Wednesday",62.1,46.9,0,0,6577
"Thursday",57.9,48,0,0,5336
"Friday",57,46.9,0.05,0,5053
"Saturday",64,48,0,0,5675
"Sunday",50,45,0.16,0,2062
"Monday",59,46,0.04,0,4864
"Tuesday",54,51.1,0.61,0,2614
"Wednesday",51.1,48.9,0.01,0,3797
"Thursday",57,46.9,0,0,4971
"Friday",53.1,48,0.54,0,2122
"Saturday",57.9,48.9,0,0,3789
"Sunday",64.9,50,0.16,0,3948
"Monday",72,55,0,0,7386
"Tuesday",62.1,51.1,0,0,7335
"Wednesday",73.9,53.1,0,0,8231
"Thursday",79,57.9,0,0,8333
"Friday",64.9,60.1,0.25,0,4229
"Saturday",71.6,60.8,0,0,5479
"Sunday",57.2,50,0,0,3486
"Monday",66.2,46.4,0,0,5961
"Tuesday",64.4,55.4,0,0,6219
"Wednesday",68,53.6,0,0,6739
"Thursday",71.1,57,0,0,7485
"Friday",75,55,0,0,7776
"Saturday",66,55,0.04,0,3978
"Sunday",69.1,53.1,0.09,0,4633
"Monday",77,57.9,0.02,0,7769
"Tuesday",73,59,0.18,0,4260
"Wednesday",87.1,64,0,0,8959
"Thursday",89.1,71.1,0,0,8231
"Friday",86,75,0,0,7054
"Saturday",90,72,0,0,5327
"Sunday",86,73,0,0,4918
"Monday",79,68,1.65,0,3759
"Tuesday",84.9,72,0,0,7957
"Wednesday",82,71.1,0,0,9028
"Thursday",75.9,63,0,0,8764
"Friday",70,64,0.04,0,4961
